aname,City
Katargam,11
Nana Varachha,11
Mota Varachha,11
Vesu,11
Varachha,11
Kamrej,11
Rander,11
Athavagate,11
CTM,5
Maninagar,5
CG Road,5
Ashram Road,5
Khanpur,5
Ranip,5
Lal Darvaja,5
Gotri,20
Tarsali,20
Gorwa,20
Vasna,20
Andheri,2
Bandra,2
Dahisar,2
Juhu,2
Borivali,2
Goregaon,2
Asaf Ali Road,3
Chhattarpur,3
Civil Lines,3
Jayanagar,4
JP Nagar,4
Uttarahali,4
Girinagar,4
